ville	annee	region	prxsl	prxal	salbrt	salnet	htrav	vac	achbrt	achnet	pain	hamb	alim	panier	vetdam	vethom	appart4	appart3	loyer	appmen	bus	taxi	voiture	resto	hotel	serv	impots	salhor	instit	chauffeur	meca 	man	tourneur	cuisinier	chefserv	inge	banque	secr	vendeuse	ouvriere	net
AbuDhabi91	1.00	9.00																																							
AbuDhabi94	2.00	9.00	71.30	78.10	29.90	38.00	2100.00	28.90	42.00	53.30	6.00	38.00	336.00	1388.00	930.00	1750.00	2710.00	920.00	920.00	1620.00		1.36	12800.00	33.00	239.00	290.00	0.00	6.50	19500.00	11400.00	9200.00	3500.00	6800.00	33900.00	95000.00	59700.00	47800.00	14700.00	14700.00	4900.00	13650.00
Amsterdam91	1.00	2.00	65.60	65.70	56.90	49.00	1714.00	31.90	86.70	74.80	9.00	31.00	303.00	1145.00	389.00	663.00	1400.00	723.00	340.00	1822.00	1.27	7.24	13867.00	25.00	234.00	275.00	31.40	7.84	15608.00	17819.00	11924.00	12661.00	14536.00	14402.00	25924.00	24786.00	14871.00	14871.00	11857.00	10852.00	13434.00
Amsterdam94	2.00	2.00	68.80	70.30	61.40	53.70	1792.00	27.50	89.30	78.00	11.00	28.00	324.00	1339.00	410.00	710.00	1590.00	1060.00	520.00	1880.00	1.56	10.58	17200.00	26.00	286.00	330.00	31.50	9.20	23800.00	24900.00	14300.00	13000.00	22000.00	15600.00	33600.00	32600.00	22500.00	17000.00	12700.00	13700.00	16486.00
Athenes91	1.00	3.00	53.80	55.60	30.20	30.40	1792.00	23.50	56.10	56.40	9.00	33.00	267.00	940.00	308.00	536.00	931.00	690.00	450.00	2391.00	0.27	1.81	19628.00	17.00	180.00	167.00	19.90	4.89	7972.00	9445.00	8574.00	9847.00	14402.00	14068.00	13800.00	14804.00	9914.00	6900.00	4555.00	5761.00	8763.00
Athenes94	2.00	3.00	54.40	56.70	27.70	28.50	1775.00	24.50	50.90	52.40	17.00	42.00	275.00	1059.00	370.00	900.00	1270.00	770.00	440.00	2310.00	0.30	2.12	23700.00	20.00	243.00	220.00	18.90	4.90	10100.00	11300.00	6000.00	9700.00	9600.00	11000.00	12300.00	13000.00	11000.00	8900.00	5800.00	6200.00	8698.00
Bangkok91	1.00	6.00																																							
Bangkok94	2.00	6.00	64.60	70.10	9.50	11.20	2272.00	8.80	14.60	17.30	69.00	83.00	325.00	1258.00	290.00	540.00	2820.00	2170.00	320.00	3890.00	0.36	3.66	29600.00	28.00	190.00	230.00	5.10	2.00	4100.00	3400.00	2600.00	1700.00	6600.00	8500.00	27300.00	17900.00	12800.00	7100.00	1700.00	1900.00	4544.00
Bogota91	1.00	8.00	37.90	39.30	10.10	11.50	2152.00	17.40	26.60	30.30	23.00	98.00	137.00	661.00	161.00	208.00	1407.00	623.00	160.00	1768.00	0.09	1.56	11991.00	9.00	108.00	107.00	6.20	1.81	2144.00	2412.00	4354.00	1206.00	4823.00	13934.00	12192.00	12259.00	2345.00	5024.00	2278.00	2814.00	3892.00
Bogota94	2.00	8.00	52.80	54.40	13.50	16.00	2154.00	18.70	25.50	30.20	32.00	72.00	258.00	1028.00	260.00	470.00	1900.00	900.00	250.00	1950.00	0.29	3.01	17500.00	13.00	204.00	170.00	4.90	2.80	4100.00	4100.00	6500.00	1700.00	5500.00	11600.00	31500.00	19000.00	8400.00	9100.00	3100.00	5100.00	6031.00
Bombay91	1.00	6.00	30.30	39.90	6.00	5.30	2052.00	30.60	19.90	17.60	27.00	131.00	116.00	529.00	54.00	248.00	2800.00	1869.00	190.00	1789.00	0.09	1.17	9110.00	11.00	158.00	74.00	21.10	0.87	1005.00	1340.00	1809.00	737.00	2479.00	2412.00	3751.00	2880.00	2345.00	1809.00	1072.00	1206.00	1787.00
Bombay94	2.00	6.00	30.40	38.80	3.90	4.70	1990.00	39.30	12.70	15.50	29.00	92.00	113.00	591.00	120.00	180.00	2460.00	1830.00	300.00	2070.00	0.10	0.45	7000.00	12.00	169.00	100.00	1.60	0.80	1600.00	1700.00	1300.00	800.00	1400.00	2700.00	4300.00	2100.00	1800.00	2200.00	1100.00	1300.00	1592.00
Bruxelles91	1.00	2.00	73.80	72.20	68.20	50.50	1708.00	24.60	92.40	68.40	12.00	31.00	316.00	1288.00	375.00	837.00	1239.00	489.00	460.00	2445.00	1.11	8.35	12929.00	20.00	236.00	255.00	40.60	8.11	14001.00	14068.00	10450.00	12192.00	17350.00	19159.00	31016.00	24518.00	19293.00	13800.00	10718.00	10182.00	13844.00
